"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Armenia","HIES - Households Living Conditions Survey","Mean weekly hours usually worked per employee by sex","Female","2020",40.67,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Mean weekly hours usually worked per employee by sex","Male","2019",47.41,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","Mean weekly hours usually worked per employee by sex","Female","2019",42.53,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2017",45.42,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2017",39.94,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2016",45.34,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2016",39.29,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2015",46.84,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2015",39.99,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Antigua and Barbuda","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2018",40.56,,,"Repository: ILO-STATISTICS - Micro data processing"
"Antigua and Barbuda","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2018",40.14,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Mean weekly hours usually worked per employee by sex","Male","2021",38.84,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Mean weekly hours usually worked per employee by sex","Female","2021",32.2,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Mean weekly hours usually worked per employee by sex","Male","2020",38.59,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Mean weekly hours usually worked per employee by sex","Female","2020",31.61,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Mean weekly hours usually worked per employee by sex","Male","2019",39.12,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Mean weekly hours usually worked per employee by sex","Female","2019",32.03,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Mean weekly hours usually worked per employee by sex","Male","2018",39.52,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Mean weekly hours usually worked per employee by sex","Female","2018",31.78,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Mean weekly hours usually worked per employee by sex","Male","2017",39.54,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Mean weekly hours usually worked per employee by sex","Female","2017",31.72,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Mean weekly hours usually worked per employee by sex","Male","2016",38.92,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","Mean weekly hours usually worked per employee by sex","Female","2016",31.71,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2015",39.93,,,
"Australia","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2015",31.28,,,
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2025",37.95,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2025",31.07,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2024",37.99,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2024",30.89,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2023",38.16,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2023",31.05,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2022",38.41,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2022",30.93,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2021",38.57,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2021",30.98,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2020",39.28,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2020",31.62,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2019",39.5,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2019",31.55,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2018",39.5,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2018",31.56,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2017",39.47,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2017",31.54,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2016",39.58,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2016",31.64,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2015",39.82,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2015",31.65,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","Mean weekly hours usually worked per employee by sex","Male","2020",44.12,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burundi","HIES - Living Standards Survey","Mean weekly hours usually worked per employee by sex","Female","2020",37.44,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2024",37.48,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2024",32.47,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2023",37.54,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2023",32.48,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2022",37.82,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2022",32.69,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2021",38.11,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2021",32.67,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2020",37.74,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2020",32.59,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2019",38.19,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2019",32.43,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2018",38.27,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2018",32.52,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2017",38.3,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2017",32.28,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2016",38.14,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2016",32.05,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2015",38.14,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2015",32.01,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions","Mean weekly hours usually worked per employee by sex","Male","2022",46.83,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions","Mean weekly hours usually worked per employee by sex","Female","2022",45,,,"Repository: ILO-STATISTICS - Micro data processing"
